rank,osm_type,osm_id,name,city,prio1_lunch_field,prio1_note_mentions,prio2_has_website,prio2_has_website_menu,field_count_total,website,website_menu,lunch_value,note
1,node,3511936286,Oma maa,Helsinki,true,false,true,false,37,http://www.omamaa.fi/,,yes,Cafe and Food cooperative
2,node,12290359975,Uyghur Noodle House,Helsinki,false,true,true,true,37,https://www.uyghurnoodlehouse.com/,https://www.uyghurnoodlehouse.com/menu,,Lunch prices are from 11:00 to 14:00.
3,node,446760379,flät no 14,Helsinki,true,false,true,false,31,https://www.flathelsinki.fi/,,yes,
4,node,6239593489,Pien Brewpub,Helsinki,true,false,true,false,31,https://www.pien.fi/#brewpub,,yes,
5,node,957080720,Ravintola Kookos,Helsinki,true,false,true,false,29,https://www.compass-group.fi/ravintolat-ja-ruokalistat/foodco/kaupungit/helsinki/kookos/,,Mo-Thu 11:00-16:00;Fr 11:00-15:00,
6,node,1151191059,Gastro Cafe Kallio,Helsinki,true,false,true,false,28,https://www.gastrocafe.fi/,,yes,
7,node,6833186947,Lie Mi,Helsinki,true,false,true,false,28,https://www.facebook.com/kimsykallio,,yes,
8,node,76474078,Juttutuvan ruokasali,Helsinki,true,false,true,false,26,https://www.juttutupa.fi/,,yes,
9,node,1380991231,Sushi Bar Rice Garden,Helsinki,true,false,true,false,26,https://facebook.com/,,yes,
10,node,1528652523,Sushibar+Wine,Helsinki,true,false,true,false,26,https://sushibarwine.com/ravintolat/kallio/,,yes,
11,node,4226632191,IPI Kulmakuppila,,true,false,true,false,24,https://ipikulmakuppila.fi/,,yes,
12,node,1533487184,Box Tuohi,Helsinki,true,false,true,false,22,https://www.ravintolatuohi.fi/,,yes,
13,node,12155962112,Lohtu,,true,false,true,false,22,https://www.ravintolalohtu.fi/,,yes,
14,node,207107581,Lounaskahvila Raiku,Helsinki,true,false,false,false,24,,,yes,
15,node,670276215,Pihvipaikka Karhunpesä,,true,false,false,false,18,,,yes,
16,node,1309640537,Kirstin keidas,,true,false,false,false,18,,,yes,
17,node,294976827,Hesburger,Helsinki,false,false,true,false,42,https://www.hesburger.fi/,,,
18,node,1380991232,McDonald's,Helsinki,false,false,true,false,39,https://www.mcdonalds.fi/,,,
19,node,294976831,Hesburger,Helsinki,false,false,true,false,35,https://www.hesburger.fi/,,,
20,node,3145451463,Loving Hut,Helsinki,false,false,true,false,34,https://www.lovinghut.com/fi/,,,
21,node,92758232,Memphis,Helsinki,false,false,true,false,33,https://www.raflaamo.fi/fi/helsinki/memphis-hakaniemi,,,
22,node,1645802698,Lemon Grass,Helsinki,false,false,true,false,33,https://eat.fi/fi/helsinki/lemon-grass/menu,,,
23,node,8852655398,Green Hippo,Helsinki,false,false,true,false,32,https://www.greenhippocafe.rocks/kallio,,,
24,node,446775129,Ravintola Onda,Helsinki,false,false,true,false,31,https://www.ravintolaonda.fi,,,Lounasbuffet arkisin klo 11:00 - 15:00
25,node,1525997417,Daddy Greens,Helsinki,false,false,true,false,30,https://daddygreens.fi/kallio/,,,
26,node,76474077,Graniittilinna,Helsinki,false,false,true,false,29,https://www.graniittilinna.com,,,
27,node,5527479019,Wino,Helsinki,false,false,true,false,28,https://www.wino.fi/,,,
28,node,7202747614,Ravinteli Olkkari,Helsinki,false,false,true,false,28,https://ravinteliolkkari.fi/,,,A vibrant culinary living room in Helsinki
29,node,11156411288,Kakkugalleria,Helsinki,false,false,true,false,28,https://www.kakkugalleria.com/,,,
30,node,283309197,Saba,Helsinki,false,false,true,false,27,http://www.ravintolasaba.fi/,,,
31,node,354513857,Ristorante Da Vinci,Helsinki,false,false,true,false,27,https://www.davincibarristorante.fi/,,,
32,node,1056678094,Cella,Helsinki,false,false,true,false,27,https://www.kantri.fi/cella/,,,
33,node,2222510493,Beard Park Cafe,Helsinki,false,false,true,false,27,https://beardparkcafe.fi/,,,
34,node,6080258627,Way Bakery,Helsinki,false,false,true,false,27,https://www.waybakery.fi,,,
35,node,445381416,Kotipizza,Helsinki,false,false,true,false,26,https://kotipizza.fi/ravintolat/kotipizza-helsinki-kallio-porthaninkatu,,,
36,node,6095625763,La Torrefazione,,false,false,true,false,26,https://www.latorre.fi/toimipiste/hakaniemi,,,
37,node,6660555490,Bruket Cafe & Catering,Helsinki,false,false,true,false,26,http://www.bruketcafe.fi/,,,2. kerros
38,node,10832411137,Peace Kitchen,,false,false,true,false,26,https://peacekitchen.fi/,,,
39,node,11991579775,Ravintola Maukku,,false,false,true,false,26,https://maukku.fi/,,,
40,node,1529213478,Madonna Restaurant,Helsinki,false,false,true,false,25,https://www.madonnarestaurant.fi/,,,
41,node,4226632189,Chalupa,Helsinki,false,false,true,false,25,https://chalupa.fi/,,,
